序号,股票代码,股票简称,签署主体,签署主体-与上市公司关系,其他签署方,其他签署方-与上市公司关系,合同类型,合同名称,合同金额,上年度营业收入,占上年度营业收入比例,最新财务报表的营业收入,签署日期,公告日期
1,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,TCL华星第8.6代印刷OLED生产线一期项目施工总承包A标段项目合同,,,,6232314611.06,,2026-04-15
2,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,广安必美达生物科技有限公司年产50万吨双甘膦项目厂区工程施工合同,,,,6232314611.06,,2026-04-15
3,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,重庆涪陵绕城西环项目工程合同,,,,6232314611.06,,2026-04-15
4,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,HJ实验室实验园区融合理想环境综合实验设施项目工程总承包(EPC)项目合同,,,,6232314611.06,,2026-04-15
5,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,中国·南昌国际农产品交易中心项目合同,,,,6232314611.06,,2026-04-15
6,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,广东省佛山市顺德区SD-1-03-01-01-06-01地块项目合同,,,,6232314611.06,,2026-04-15
7,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,王府井购物公园项目合同,,,,6232314611.06,,2026-04-15
8,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,四川绵阳工业园新型显示产业园区基础设施建设项目合同,,,,6232314611.06,,2026-04-15
9,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,青白江90亩项目合同,,,,6232314611.06,,2026-04-15
10,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,苏州高新区光子产业园融合发展项目-光子产业园(土建安装及附属配套工程)项目(吴中分厂)合同,,,,6232314611.06,,2026-04-15
11,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,苏州高新区光子产业园融合发展项目-光子产业园(土建安装及附属配套工程)(太原厂)合同,,,,6232314611.06,,2026-04-15
12,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,天眉乐高速公路项目(眉山市彭山区连接线)合同,,,,6232314611.06,,2026-04-15
13,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,高比能快充汽车动力锂电池制造项目(三期)土建总承包工程合同,,,,6232314611.06,,2026-04-15
14,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,长安汽车全球研发中心建设项目(二期)主体及配套工程合同,,,,6232314611.06,,2026-04-15
15,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,蜀山区SS202507地块住宅总工程总承包项目合同,,,,6232314611.06,,2026-04-15
16,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,轨道4号线与两江大道节点工程(二期)二标段项目工程项目合同,,,,6232314611.06,,2026-04-15
17,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,安徽大学未来学院新校区组团二、组团五及配套工程项目合同,,,,6232314611.06,,2026-04-15
18,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,德丽高端印刷线路板二期工程合同,,,,6232314611.06,,2026-04-15
19,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,高科技电子材料生产基地项目工程总承包(EPC)合同,,,,6232314611.06,,2026-04-15
20,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,贵安华为云数据中心AZ3马场区域项目C01&C03总承包工程项目合同,,,,6232314611.06,,2026-04-15
21,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,G354湘府东路东延线城际快速干道施工(HJSG-03标)项目合同,,,,6232314611.06,,2026-04-15
22,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,G354湘府东路东延线城际快速干道施工(HJSG-01标)项目合同,,,,6232314611.06,,2026-04-15
23,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,G354湘府东路东延城际快速干道施工(JSG-01)标项目合同,,,,6232314611.06,,2026-04-15
24,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,喀什地区喀什市城中村改造项目(18#地块)工程总承包合同,,,,6232314611.06,,2026-04-15
25,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,合肥高新区科创产业园项目一期一标段合同,,,,6232314611.06,,2026-04-15
26,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,青浦区QPC10004、QPC10005单元47-04、49-01、50-01住宅地块项目47-04地块合同,,,,6232314611.06,,2026-04-15
27,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,长沙经开区黄花产业园配套基础设施建设项目工业园区建设工程二标段项目合同,,,,6232314611.06,,2026-04-15
28,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,新疆恒信和建筑安装工程有限公司乌市所属项目部工程合同,,,,6232314611.06,,2026-04-15
29,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,苏州哲杰厂房项目合同,,,,6232314611.06,,2026-04-15
30,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,南京六合(龙袍)万洋众创城项目合同,,,,6232314611.06,,2026-04-15
31,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,南京空港万洋众创城项目合同,,,,6232314611.06,,2026-04-15
32,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,东南大学九龙湖校区梅园宿舍综合体项目一标段施工总承包合同,,,,6232314611.06,,2026-04-15
33,002302,西部建设,中建西部建设股份有限公司,公司本身,,,工程建设,江苏(苏州)万洋科技城项目合同,,,,6232314611.06,,2026-04-15
34,600170,上海建工,上海建工集团股份有限公司,公司本身,,,项目中标,安福玉匣湾微度假文旅综合体EPC总承包(一期)项目中标通知书,537000000.0,205996611436.85,,205996611436.85,,2026-04-15
35,600170,上海建工,上海建工集团股份有限公司,公司本身,,,项目中标,鹏赫(鹤山区)200MW/400MWh独立共享储能电站项目(EPC)中标通知书,599000000.0,205996611436.85,,205996611436.85,,2026-04-15
36,600170,上海建工,上海建工集团股份有限公司,公司本身,,,项目中标,中国电气装备集团科研基地(输变电装备技术全国重点实验室上海基地)新建项目施工总承包工程(除桩基工程)中标通知书,620000000.0,205996611436.85,,205996611436.85,,2026-04-15
37,600170,上海建工,上海建工集团股份有限公司,公司本身,,,项目中标,虹口区北外滩街道HK321-01、HK321-02(部分地下)(北外滩91街坊)项目综合机电分包工程中标通知书,712000000.0,205996611436.85,,205996611436.85,,2026-04-15
38,600170,上海建工,上海建工集团股份有限公司,公司本身,,,项目中标,浦东新区三林镇楔形绿地7单元05-08、07-02、07-11地块项目(07-02地块)除桩基工程中标通知书,819000000.0,205996611436.85,,205996611436.85,,2026-04-15
39,600170,上海建工,上海建工集团股份有限公司,公司本身,,,项目中标,上海锦江乐园改造更新项目中标通知书,868000000.0,205996611436.85,,205996611436.85,,2026-04-15
40,600170,上海建工,上海建工集团股份有限公司,公司本身,,,项目中标,长三角生态绿色一体化发展示范区水乡客厅创智引擎二期商办地块新建工程01-02-01、01-03-01、01-03-05地块除桩基工程中标通知书,1115000000.0,205996611436.85,,205996611436.85,,2026-04-15
41,600170,上海建工,上海建工集团股份有限公司,公司本身,,,项目中标,黄浦区C020102单元096-2、097-4地块及吉安路(部分)道路地下空间地块历史风貌保护项目总承包工程中标通知书,1320000000.0,205996611436.85,,205996611436.85,,2026-04-15
42,600170,上海建工,上海建工集团股份有限公司,公司本身,,,项目中标,上海光通信有限公司嘉定研发制造用厂房及配套设施二期项目(30-13地块)中标通知书,1938000000.0,205996611436.85,,205996611436.85,,2026-04-15
43,000608,*ST阳光,深圳百纳新业商业管理有限公司,全资子公司,"深圳市沙井沙头股份合作公司,深圳市骏升泰商贸有限公司",,补充协议,租赁合同补充协议,,,,,,2026-04-11
44,600248,陕建股份,陕西建工第十二建设集团有限公司,上市公司子公司,,,项目中标,富硒食药用菌智能生产全产业链项目(一期)EPC总承包中标通知书,510000000.0,,,,,2026-04-11
45,600248,陕建股份,陕西建工第十六建设有限公司,上市公司子公司,,,项目中标,景泰AI科技中心建设工程EPC总承包中标通知书,1017000000.0,,,,,2026-04-11
46,600248,陕建股份,陕西建工机械施工集团有限公司,上市公司子公司,,,项目中标,G3033奎屯-独山子-库车高速公路项目第二批土建KDK-TJSG-5标段中标通知书,4914000000.0,,,,,2026-04-11
47,920592,华信永道,华信永道(北京)科技股份有限公司,公司本身,贵阳市住房公积金管理中心,,项目中标,贵阳市住房公积金管理中心数字化公积金业务系统项目中标通知书,20799535.0,,,,,2026-04-10
48,920592,华信永道,华信永道(北京)科技股份有限公司,公司本身,内蒙古自治区住房资金中心,,项目中标,内蒙古自治区住房公积金业务系统项目中标通知书,33990000.0,,,,,2026-04-10
49,301305,朗坤科技,北京朗坤生物质新能源有限公司,全资子公司,北京市通州区城市管理委员会,,补充协议,通州区有机垃圾资源化综合处理中心项目特许经营协议补充协议,,,,1281775446.35,,2026-04-03
