时间,代码,名称,板块,相关信息
14:08:43,600525,ST长园,60日大幅下跌,"-0.050817,5.23000,-0.050817"
13:43:20,605319,无锡振华,60日大幅下跌,"-0.041379,27.82000,-0.040690"
13:41:00,002749,国光股份,60日大幅下跌,"-0.034277,12.97000,-0.033532"
13:17:15,000931,中 关 村,60日大幅下跌,"-0.040892,5.16000,-0.040892"
13:16:03,002100,天康生物,60日大幅下跌,"-0.040865,8.00000,-0.038462"
13:13:42,000518,*ST四环,60日大幅下跌,"-0.041534,3.00000,-0.041534"
13:07:23,600708,光明地产,60日大幅下跌,"-0.074405,3.20000,-0.047619"
13:06:48,002390,信邦制药,60日大幅下跌,"-0.039275,3.18000,-0.039275"
13:03:42,002589,瑞康医药,60日大幅下跌,"-0.063187,3.41000,-0.063187"
11:07:25,600491,龙元建设,60日大幅下跌,"-0.074380,2.25000,-0.070248"
11:04:33,000597,东北制药,60日大幅下跌,"-0.038462,5.26000,-0.036630"
11:01:36,603669,灵康药业,60日大幅下跌,"-0.051613,4.41000,-0.051613"
11:00:26,603600,永艺股份,60日大幅下跌,"-0.039251,10.78000,-0.038359"
10:52:00,002020,京新药业,60日大幅下跌,"-0.047950,15.09000,-0.047950"
10:37:54,002615,哈尔斯,60日大幅下跌,"-0.061372,7.87000,-0.052948"
10:27:15,000570,苏常柴Ａ,60日大幅下跌,"-0.057863,6.40000,-0.050445"
10:25:28,600613,神奇制药,60日大幅下跌,"-0.046252,5.99000,-0.044657"
10:21:09,000153,丰原药业,60日大幅下跌,"-0.044053,6.52000,-0.042584"
10:19:06,600486,扬农化工,60日大幅下跌,"-0.067076,72.88000,-0.067076"
10:15:33,000703,恒逸石化,60日大幅下跌,"-0.077019,14.76000,-0.075767"
10:11:23,600713,南京医药,60日大幅下跌,"-0.049759,5.93000,-0.048154"
10:10:27,600654,中安科,60日大幅下跌,"-0.072650,4.35000,-0.070513"
10:08:07,603259,药明康德,60日大幅下跌,"-0.041548,101.29000,-0.041359"
09:57:39,003038,鑫铂股份,60日大幅下跌,"-0.069264,15.07000,-0.068027"
09:56:12,000726,鲁  泰Ａ,60日大幅下跌,"-0.040172,6.69000,-0.040172"
09:48:47,603225,新凤鸣,60日大幅下跌,"-0.077908,16.68000,-0.071786"
09:48:45,002726,龙大美食,60日大幅下跌,"-0.066298,3.40000,-0.060773"
09:41:58,603700,宁水集团,60日大幅下跌,"-0.044919,12.97000,-0.044919"
09:40:29,600822,上海物贸,60日大幅下跌,"-0.041257,9.90000,-0.027505"
09:39:06,000428,华天酒店,60日大幅下跌,"-0.042821,3.80000,-0.042821"
09:39:03,002566,益盛药业,60日大幅下跌,"-0.045226,7.60000,-0.045226"
09:38:12,000151,中成股份,60日大幅下跌,"-0.046102,11.39000,-0.045264"
09:35:00,002033,丽江股份,60日大幅下跌,"-0.054895,10.35000,-0.053065"
09:34:18,000978,桂林旅游,60日大幅下跌,"-0.064706,7.95000,-0.064706"
09:34:09,001206,依依股份,60日大幅下跌,"-0.045749,20.65000,-0.045749"
09:33:25,603004,鼎龙科技,60日大幅下跌,"-0.047619,21.83000,-0.046308"
09:31:15,002333,罗普斯金,60日大幅下跌,"-0.054773,6.05000,-0.053208"
09:30:48,600664,哈药股份,60日大幅下跌,"-0.052273,4.18000,-0.050000"
09:30:48,002555,三七互娱,60日大幅下跌,"-0.054530,22.06000,-0.052812"
09:30:30,603227,雪峰科技,60日大幅下跌,"-0.039354,9.58000,-0.033300"
09:30:28,600572,康恩贝,60日大幅下跌,"-0.038462,4.76000,-0.036437"
09:30:21,002334,英威腾,60日大幅下跌,"-0.064373,8.43000,-0.064373"
09:30:00,000581,威孚高科,60日大幅下跌,"-0.060548,19.62000,-0.057184"
09:25:03,600519,贵州茅台,60日大幅下跌,"-0.042958,1400.00000,-0.042958"
